ID,Category,Title,Description,Status,Covered By
F-ARC-010,Architecture,Unified Gateway Core,"CLI dient als einziger Entry-Point für Mensch und Bot.","DONE","main_cli.py"
F-SEC-010,Session,Explicit Session Modes,"Headless/Bot Modus via --mode=bot Fixierung.","DONE","main_cli.py"
F-INT-010,Interface,Context-Aware Rendering,"Rendering als Text (Human) oder JSON (Bot).","DONE","controller.py"
F-INT-020,Interface,Structured Error Protocol,"Fehler als JSON mit error_code und message.","DONE","models.py"
F-LOG-010,Logic,Trade Object Encapsulation,"Manipulationen nur via TradeObject. Keine Direkt-Orders.","DONE","handlers_trade.py"
F-DAT-010,Data,One-to-Many View Association,"ID-Referenzierung über TradeObject (UUID).","DONE","TradeObject.from_dict"
F-UX-010,Visualization,ID-First Display Strategy,"Trade-ID zwingend in der ersten Spalte.","DONE","handlers_monitor.py"
F-SEC-020,Safety,Action Confirmation Protocol,"Bestätigung via --confirm im Bot-Mode zwingend.","DONE","handlers_execution.py"
F-SEC-030,Security,Actor Audit Trail,"Zuordnung Akteur im Log (Human vs Bot).","DONE","TradeOrderLog"
F-ARC-020,Architecture,Logic Decoupling,"CLI rein als I/O Layer ohne Geschäftslogik.","DONE","py_cli logic delegation"
F-CLI-030,Efficiency,Server-Side Filtering,"Status-Abfrage erlaubt JSON-Filter zur Token-Ersparnis.","DONE","handlers_monitor.py"
F-CLI-040,Interface,Analytics Integration,"Befehl 'analyze' zur Risikoprüfung via CLI verfügbar.","DONE","handlers_analytics.py"
F-API-010,API,Capability Discovery,"Befehl 'capabilities' zur Feature Negotiation.","PENDING","-"
